province,city,district,street,community,full_address,lat,lng
福建省,莆田市,仙游县,,铺头村新厝,福建省莆田市仙游县枫亭镇铺头村新厝,25.23278,118.750458
福建省,莆田市,仙游县,,星庄村刘前,福建省莆田市仙游县盖尾镇星庄村刘前,25.38859,118.833412
福建省,莆田市,仙游县,,金沙村上库,福建省莆田市仙游县龙华镇金沙村上库,25.321251,118.577957
福建省,莆田市,仙游县,,洋坑村柯厝,福建省莆田市仙游县大济镇洋坑村柯厝,25.363359,118.590729
福建省,莆田市,仙游县,鲤城街道,木兰社区,福建省莆田市仙游县鲤城街道木兰社区,25.355551,118.683548
福建省,莆田市,城厢区,,万辉国际城,福建省莆田市城厢区万辉国际城,25.46697,119.017303
福建省,莆田市,城厢区,凤凰山街道南门吉祥街,外贸宿舍,福建省莆田市城厢区凤凰山街道南门吉祥街外贸宿舍,25.424191,119.013527
福建省,莆田市,城厢区,,,福建省莆田市城厢区常太镇金川村,25.5361,118.884644
福建省,莆田市,城厢区,,,福建省莆田市城厢区柯朱村,25.306669,119.018372
福建省,莆田市,城厢区,,,福建省莆田市城厢区灵川镇太湖村,25.278299,119.035439
福建省,莆田市,城厢区,荔城中大道,豪悦御景,福建省莆田市城厢区荔城中大道豪悦御景,25.447611,119.003128
福建省,莆田市,城厢区,,,福建省莆田市城厢区东海镇西黄村,25.276381,118.950058
福建省,莆田市,北岸,,,福建省莆田市北岸东埔镇何山村,25.16707,119.083488
福建省,莆田市,北岸,,,福建省莆田市北岸山亭镇港里村,25.139999,119.122238
福建省,莆田市,荔城区,,呈山村沟戈,福建省莆田市荔城区北高镇呈山村沟戈,25.35041,119.139168
福建省,莆田市,荔城区,,竹庄村上房,福建省莆田市荔城区北高镇竹庄村上房,25.33625,119.199471
福建省,莆田市,荔城区,,,福建省莆田市荔城区新度镇锦墩村,25.3901,119.030777
福建省,莆田市,荔城区,,,福建省莆田市荔城区渡岭村,25.318489,119.171402
福建省,莆田市,荔城区,,万通花园,福建省莆田市荔城区万通花园,25.438511,119.033401
福建省,莆田市,荔城区,拱辰街道,畅林社区浦头村,福建省莆田市荔城区拱辰街道畅林社区浦头村,25.46751,119.03154
福建省,莆田市,荔城区,,云顶枫丹,福建省莆田市荔城区西天尾镇云顶枫丹,25.480949,119.027328
福建省,莆田市,荔城区,,栏山村田鼻兜,福建省莆田市荔城区北高镇栏山村田鼻兜,25.32865,119.181252
福建省,莆田市,荔城区,,东甲村青山,福建省莆田市荔城区黄石镇东甲村青山,25.393419,119.127739
福建省,莆田市,荔城区,,,福建省莆田市荔城区黄石镇徐厝村,25.38875,119.123352
福建省,莆田市,秀屿区,,,福建省莆田市秀屿区东庄镇营边村,25.251369,119.03701
福建省,莆田市,秀屿区,,,福建省莆田市秀屿区埭头镇埭头村,25.25511,119.236008
福建省,莆田市,秀屿区,,埭头村新街口,福建省莆田市秀屿区埭头镇埭头村新街口,25.255232,119.234375
福建省,莆田市,秀屿区,,湖东村顶湖,福建省莆田市秀屿区湖东村顶湖,25.25865,119.248528
福建省,莆田市,秀屿区,,,福建省莆田市秀屿区苏厝村,25.23472,119.036163
福建省,莆田市,秀屿区,,鼎秀苑小区,福建省莆田市秀屿区鼎秀苑小区,25.32518,119.094109
福建省,莆田市,秀屿区,,,福建省莆田市秀屿区东庄镇莆头村,25.225901,118.984108
福建省,莆田市,涵江区,,景隆凯旋城,福建省莆田市涵江区国欢镇景隆凯旋城,25.469419,119.107147
福建省,莆田市,涵江区,,,福建省莆田市涵江区庄边镇岫山村,25.697781,118.95874
福建省,莆田市,涵江区,,保利城2期,福建省莆田市涵江区白塘镇保利城2期,25.465982,119.087074
福建省,莆田市,涵江区,港头路,东南香小区,福建省莆田市涵江区港头路东南香小区,25.448988,119.097931
福建省,泉州市,安溪县,,,福建省泉州市安溪县城厢镇仙苑村,25.071381,118.161377
福建省,泉州市,安溪县,中洋街,,福建省泉州市安溪县湖上乡雪山村中洋街,25.252769,117.962929
福建省,泉州市,安溪县,,安溪清水岩,福建省泉州市安溪县安溪清水岩,25.122292,118.124275
福建省,泉州市,安溪县,,,福建省泉州市安溪县官桥镇恒美村,25.022949,118.074791
福建省,泉州市,永春县,,,福建省泉州市永春县东关镇外碧村,25.301729,118.404404
福建省,泉州市,永春县,,,福建省泉州市永春县东平镇太平村,25.303881,118.337349
福建省,泉州市,永春县,,,福建省泉州市永春县外山乡碧卿林场,28.403537,118.192554
福建省,泉州市,永春县,,,福建省泉州市永春县桃城镇太坪新村,25.32023,118.302193
福建省,泉州市,永春县,,永春新华都超市,福建省泉州市永春县永春新华都超市,25.324575,118.295059
福建省,泉州市,永春县,,,福建省泉州市永春县湖洋镇龙山村,25.36853,118.406357
福建省,泉州市,永春县,,金龙城董记咯摊,福建省泉州市永春县金龙城董记咯摊,25.323311,118.2967
福建省,泉州市,永春县,,,福建省泉州市永春县玉斗镇新珩村,25.36014,118.042648
福建省,泉州市,永春县,,,福建省泉州市永春县玉斗镇玉斗村,25.390621,118.039238
福建省,泉州市,石狮市,,,福建省泉州市石狮市宝盖镇后垵村,24.75823,118.653152
福建省,泉州市,石狮市,,山前东区,福建省泉州市石狮市蚶江镇山前东区,24.748087,118.700615
福建省,泉州市,惠安县,青山街,,福建省泉州市惠安县山霞镇东坑村青山街,24.905621,118.882057
福建省,泉州市,惠安县,,,福建省泉州市惠安县山霞镇田边村,24.90695,118.864159
福建省,泉州市,惠安县,,,福建省泉州市惠安县涂寨镇庄内村,24.983709,118.811958
福建省,泉州市,洛江区,,潘内村顶道坝,福建省泉州市洛江区马甲镇潘内村顶道坝,25.13941,118.628922
福建省,泉州市,南安市,,中国工商银行南安柳城分行,福建省泉州市南安市中国工商银行南安柳城分行,24.95573,118.39328
福建省,泉州市,南安市,,南安市行政服务中心,福建省泉州市南安市南安市行政服务中心,24.95915,118.40686
福建省,泉州市,南安市,,后林埔,福建省泉州市南安市官桥镇下洋村后林埔,24.86297,118.478668
福建省,泉州市,南安市,,,福建省泉州市南安市官桥镇内厝村,24.767229,118.4244
福建省,泉州市,南安市,,,福建省泉州市南安市官桥镇周厝村,24.79817,118.418541
福建省,泉州市,南安市,,,福建省泉州市南安市水头镇仁福村,24.692369,118.369072
福建省,泉州市,南安市,,,福建省泉州市南安市水头镇劳光村,24.69047,118.34716
福建省,泉州市,南安市,,,福建省泉州市南安市码头镇大庭村,25.2024,118.321281
福建省,泉州市,南安市,,,福建省泉州市南安市英都镇良山村,24.9666,118.236717
